<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
27.09.2018;117460;117480;117440;117480
27.09.2018;117480;117480;117450;117450
27.09.2018;117450;117510;117440;117510
27.09.2018;117510;117570;117510;117560
27.09.2018;117560;117600;117540;117600
27.09.2018;117590;117600;117550;117560
27.09.2018;117560;117560;117490;117500
27.09.2018;117490;117520;117480;117510
27.09.2018;117500;117520;117490;117500
27.09.2018;117510;117580;117510;117550
27.09.2018;117560;117590;117540;117590
27.09.2018;117560;117570;117490;117500
27.09.2018;117510;117580;117510;117560
27.09.2018;117560;117560;117500;117530
27.09.2018;117530;117550;117520;117530
27.09.2018;117530;117570;117520;117530
27.09.2018;117530;117530;117480;117510
27.09.2018;117500;117510;117450;117470
27.09.2018;117450;117480;117450;117480
27.09.2018;117460;117460;117430;117460
27.09.2018;117450;117490;117440;117470
27.09.2018;117480;117480;117450;117450
27.09.2018;117460;117500;117440;117490
27.09.2018;117490;117510;117470;117470
27.09.2018;117460;117500;117450;117480
27.09.2018;117480;117490;117470;117480
27.09.2018;117490;117490;117470;117480
27.09.2018;117480;117500;117480;117490
27.09.2018;117500;117520;117490;117510
27.09.2018;117520;117540;117520;117530
27.09.2018;117530;117540;117520;117520
27.09.2018;117530;117530;117490;117500
27.09.2018;117500;117530;117500;117530
27.09.2018;117520;117550;117500;117530
27.09.2018;117540;117550;117520;117530
27.09.2018;117530;117540;117480;117480
27.09.2018;117490;117510;117460;117460
27.09.2018;117460;117490;117460;117490
27.09.2018;117480;117500;117470;117480
27.09.2018;117480;117480;117420;117450
27.09.2018;117460;117460;117420;117420
27.09.2018;117420;117450;117400;117420
27.09.2018;117410;117440;117410;117420
27.09.2018;117440;117440;117430;117430
27.09.2018;117440;117470;117410;117450
27.09.2018;117460;117470;117440;117470
27.09.2018;117480;117490;117430;117450
27.09.2018;117450;117470;117430;117470
27.09.2018;117470;117490;117460;117490
27.09.2018;117480;117500;117480;117500
27.09.2018;117500;117510;117490;117500
27.09.2018;117510;117520;117490;117500
27.09.2018;117490;117490;117480;117480
27.09.2018;117480;117640;117460;117620
27.09.2018;117610;117620;117520;117580
27.09.2018;117560;117570;117550;117550
27.09.2018;117540;117560;117540;117550
27.09.2018;117550;117570;117550;117570
27.09.2018;117570;117570;117540;117550
27.09.2018;117560;117560;117550;117550
27.09.2018;117540;117560;117530;117540
27.09.2018;117550;117550;117530;117550
27.09.2018;117550;117560;117530;117540
27.09.2018;117550;117550;117520;117520
27.09.2018;117520;117540;117520;117540
27.09.2018;117530;117570;117530;117570
27.09.2018;117560;117570;117550;117570
27.09.2018;117570;117590;117560;117560
27.09.2018;117560;117560;117550;117560
27.09.2018;117550;117560;117540;117540
27.09.2018;117550;117560;117520;117520
27.09.2018;117520;117520;117450;117470
27.09.2018;117460;117470;117450;117460
27.09.2018;117460;117490;117440;117480
27.09.2018;117470;117510;117470;117490
27.09.2018;117490;117500;117470;117470
27.09.2018;117480;117510;117480;117500
27.09.2018;117490;117540;117480;117540
27.09.2018;117520;117530;117510;117510
27.09.2018;117520;117540;117500;117540
27.09.2018;117530;117530;117510;117510
27.09.2018;117500;117500;117460;117470
27.09.2018;117460;117480;117420;117430
27.09.2018;117420;117450;117410;117450
27.09.2018;117450;117470;117440;117460
27.09.2018;117460;117470;117460;117470
27.09.2018;117460;117460;117430;117430
27.09.2018;117430;117460;117410;117420
27.09.2018;117410;117430;117350;117370
27.09.2018;117380;117380;117350;117360
27.09.2018;117350;117430;117350;117430
27.09.2018;117440;117440;117410;117410
27.09.2018;117400;117400;117400;117400
27.09.2018;117390;117390;117360;117360
27.09.2018;117360;117370;117360;117370
27.09.2018;117360;117380;117360;117360
27.09.2018;117360;117370;117350;117360
27.09.2018;117360;117370;117320;117320
27.09.2018;117320;117350;117300;117310
27.09.2018;117310;117370;117310;117370
27.09.2018;117350;117370;117340;117340
